LTP,expiry_date,option_type,strike_rate,option_chain_price,LTP_at_930,LTP_at_10,LTP_at_1015,LTP_at_1030,LTP_at_1230,LTP_at_1,LTP_at_130,nifty_low,nifty_high,nifty_open,nifty_price
23923.10,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.10
23924.85,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.85
23923.90,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.90
23924.70,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.70
23924.60,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.60
23924.55,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.55
23924.30,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.30
23924.15,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.15
23924.50,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.50
23923.10,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.10
23920.75,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23920.75
23921.70,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.70
23922.70,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23922.70
23923.50,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.50
23923.05,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.05
23919.65,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23919.65
23921.25,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.25
23923.45,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.45
23921.60,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.60
23921.00,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.00
23921.45,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.45
23921.55,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.55
23921.40,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.40
23921.80,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.80
23922.15,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23922.15
23924.70,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.70
23923.95,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.95
23925.15,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23925.15
23923.25,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.25
23925.30,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23925.30
23924.10,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.10
23925.20,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23925.20
23926.30,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23926.30
23928.95,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23928.95
23928.65,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23928.65
23929.00,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23929.00
23928.75,09JAN25,C,0,267.50,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23928.75
23930.40,09JAN25,C,0,267.50,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23930.40
23930.55,09JAN25,C,0,267.50,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23930.55
23930.40,09JAN25,C,0,267.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23930.40
23930.25,09JAN25,C,0,267.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23930.25
23929.25,09JAN25,C,0,267.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23929.25
23934.25,09JAN25,C,0,269.50,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23934.25
