Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,MIDCPNIFTY,35000,FUTIDX,XX,-1,MIDCPNIFTY,MIDCPNIFTY MAR FUT,MIDCPNIFTY27MAR25F,2025-03-27,120,0.05
NFO,nse_fo,NIFTY,35001,FUTIDX,XX,-1,NIFTY,NIFTY MAR FUT,NIFTY27MAR25F,2025-03-27,75,0.05
NFO,nse_fo,AARTIIND,35002,FUTSTK,XX,-1,AARTI INDUSTRIES LTD,AARTIIND MAR FUT,AARTIIND27MAR25F,2025-03-27,1000,0.05
NFO,nse_fo,ABB,35003,FUTSTK,XX,-1,ABB INDIA LIMITED,ABB MAR FUT,ABB27MAR25F,2025-03-27,125,0.05
NFO,nse_fo,FINNIFTY,35004,FUTIDX,XX,-1,FINNIFTY,FINNIFTY MAR FUT,FINNIFTY27MAR25F,2025-03-27,65,0.05
NFO,nse_fo,NIFTYNXT50,35005,FUTIDX,XX,-1,NIFTYNXT50,NIFTYNXT50 MAR FUT,NIFTYNXT5027MAR25F,2025-03-27,25,0.05
NFO,nse_fo,ABCAPITAL,35008,FUTSTK,XX,-1,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL MAR FUT,ABCAPITAL27MAR25F,2025-03-27,2700,0.01
NFO,nse_fo,NIFTY,35013,FUTIDX,XX,-1,NIFTY,NIFTY FEB FUT,NIFTY27FEB25F,2025-02-27,75,0.05
NFO,nse_fo,AARTIIND,35014,FUTSTK,XX,-1,AARTI INDUSTRIES LTD,AARTIIND FEB FUT,AARTIIND27FEB25F,2025-02-27,1000,0.05
NFO,nse_fo,ABB,35015,FUTSTK,XX,-1,ABB INDIA LIMITED,ABB FEB FUT,ABB27FEB25F,2025-02-27,125,0.05
NFO,nse_fo,ABBOTINDIA,35016,FUTSTK,XX,-1,ABBOTT INDIA LIMITED,ABBOTINDIA FEB FUT,ABBOTINDIA27FEB25F,2025-02-27,20,0.05
NFO,nse_fo,ABCAPITAL,35017,FUTSTK,XX,-1,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL FEB FUT,ABCAPITAL27FEB25F,2025-02-27,2700,0.01
NFO,nse_fo,ABFRL,35018,FUTSTK,XX,-1,ADITYA BIRLA FASHION & RT,ABFRL FEB FUT,ABFRL27FEB25F,2025-02-27,2600,0.05
NFO,nse_fo,ACC,35019,FUTSTK,XX,-1,ACC LIMITED,ACC FEB FUT,ACC27FEB25F,2025-02-27,300,0.05
NFO,nse_fo,NIFTYNXT50,35023,FUTIDX,XX,-1,NIFTYNXT50,NIFTYNXT50 FEB FUT,NIFTYNXT5027FEB25F,2025-02-27,25,0.05
NFO,nse_fo,ABFRL,35025,FUTSTK,XX,-1,ADITYA BIRLA FASHION & RT,ABFRL MAR FUT,ABFRL27MAR25F,2025-03-27,2600,0.05
NFO,nse_fo,ADANIENSOL,35032,FUTSTK,XX,-1,ADANI ENERGY SOLUTION LTD,ADANIENSOL FEB FUT,ADANIENSOL27FEB25F,2025-02-27,625,0.05
NFO,nse_fo,ADANIENT,35033,FUTSTK,XX,-1,ADANI ENTERPRISES LIMITED,ADANIENT FEB FUT,ADANIENT27FEB25F,2025-02-27,300,0.05
NFO,nse_fo,ACC,35052,FUTSTK,XX,-1,ACC LIMITED,ACC MAR FUT,ACC27MAR25F,2025-03-27,300,0.05
NFO,nse_fo,ADANIENSOL,35053,FUTSTK,XX,-1,ADANI ENERGY SOLUTION LTD,ADANIENSOL MAR FUT,ADANIENSOL27MAR25F,2025-03-27,625,0.05
NFO,nse_fo,ADANIENT,35057,FUTSTK,XX,-1,ADANI ENTERPRISES LIMITED,ADANIENT MAR FUT,ADANIENT27MAR25F,2025-03-27,300,0.05
NFO,nse_fo,ADANIGREEN,35060,FUTSTK,XX,-1,ADANI GREEN ENERGY LTD,ADANIGREEN MAR FUT,ADANIGREEN27MAR25F,2025-03-27,375,0.05
