token,isin,return_option,schemeName,schemePlan,schemeCode,NAV,ChangeInNAV,ChangeInNAVPer,min_investment,div_frequency,NavDate
1,INF209K01BT5,Growth,Aditya Birla SL Equity Hybrid `95 Fund (G),Regular,BAG,1402.1,-20.18,-1.42,100.00,ANNUAL,11th February 2025
2,INF209K01BS7,Dividend - Payout,Aditya Birla SL Equity Hybrid `95 Fund (IDCW),Regular,BA-DP,170.78,-2.46,-1.42,100.00,INTERIM,11th February 2025
2,INF209K01EE1,Dividend - Reinvest,Aditya Birla SL Equity Hybrid `95 Fund (IDCW),Regular,BA-DR,170.78,-2.46,-1.42,100.00,INTERIM,11th February 2025
7,INF209K01090,Dividend - Payout,Aditya Birla SL ELSS Tax Saver Fund (IDCW),Regular,02-DP,188.18,-3.15,-1.65,500.00,,11th February 2025
7,INF209K01CB1,Dividend - Reinvest,Aditya Birla SL ELSS Tax Saver Fund (IDCW),Regular,BSL02D-DR,188.18,-3.15,-1.65,500.00,,11th February 2025
8,INF209K01LQ0,Growth,Aditya Birla SL Low Duration Fund (G),Regular,BSL43N-GR,636.8835,0.10,0.02,100.00,,11th February 2025
9,INF209K01AJ8,Growth,Aditya Birla SL Flexi Cap Fund (G),Regular,51,1610.22,-26.36,-1.61,100.00,,11th February 2025
10,INF209K01AQ3,Dividend - Payout,Aditya Birla SL Flexi Cap Fund (IDCW),Regular,52-DP,147.65,-2.42,-1.61,100.00,HALF YEARLY,11th February 2025
10,INF209K01DT1,Dividend - Reinvest,Aditya Birla SL Flexi Cap Fund (IDCW),Regular,BSL52D-DR,147.65,-2.42,-1.61,100.00,HALF YEARLY,11th February 2025
15,INF209K01785,Growth,Aditya Birla SL Corporate Bond Fund (G),Regular,B32,109.0112,0.05,0.05,100.00,,11th February 2025
19,INF209K01140,Growth,Aditya Birla SL Digital India Fund (G),Regular,B16,178.87,-1.90,-1.05,1000.00,,10th February 2025
20,INF209K01132,Dividend - Payout,Aditya Birla SL Digital India Fund (IDCW),Regular,B15-DP,47.3,-0.51,-1.07,1000.00,ANNUAL,10th February 2025
20,INF209K01CD7,Dividend - Reinvest,Aditya Birla SL Digital India Fund (IDCW),Regular,B15-DR,47.3,-0.51,-1.07,1000.00,ANNUAL,10th February 2025
23,INF209K01ME4,Growth,Aditya Birla SL Liquid Fund - Retail (G),Regular,BSL501G-GR,665.0692,0.15,0.02,10000.00,,11th February 2025
26,INF209K01AC3,Growth,Aditya Birla SL Govt Securities Fund (G),Regular,B402AG,78.7726,0.00,0.00,1000.00,,11th February 2025
26,INF209K01AD1,Growth,Aditya Birla SL Govt Securities Fund (G),Regular,B402IG,78.7726,0.00,0.00,1000.00,,11th February 2025
27,INF209K01AF6,Dividend - Payout,Aditya Birla SL Govt Securities Fund (IDCW-Q),Regular,B403QD-DP,11.3377,0.00,-0.02,1000.00,QUARTERLY,11th February 2025
27,INF209K01DP9,Dividend - Reinvest,Aditya Birla SL Govt Securities Fund (IDCW-Q),Regular,B403QD-DR,11.3377,0.00,-0.02,1000.00,QUARTERLY,11th February 2025
32,INF209K01579,Growth,Aditya Birla SL Income Fund (G),Regular,B301G,121.4662,0.03,0.02,5000.00,,11th February 2025
33,INF209K01587,Dividend - Payout,Aditya Birla SL Income Fund (IDCW-Q),Regular,B301QD-DP,13.3329,0.00,0.02,5000.00,QUARTERLY,11th February 2025
33,INF209K01CY3,Dividend - Reinvest,Aditya Birla SL Income Fund (IDCW-Q),Regular,B301QD-DR,13.3329,0.00,0.02,5000.00,QUARTERLY,11th February 2025
36,INF209K01314,Dividend - Payout,Aditya Birla SL MNC Fund - (IDCW),Regular,B221D-DP,212.69,-3.62,-1.67,1000.00,INTERIM,10th February 2025
36,INF209K01CL0,Dividend - Reinvest,Aditya Birla SL MNC Fund - (IDCW),Regular,B221D-DR,212.69,-3.62,-1.67,1000.00,INTERIM,10th February 2025
37,INF209K01322,Growth,Aditya Birla SL MNC Fund - (G),Regular,B221G,1231.46,-20.98,-1.68,1000.00,,10th February 2025
45,INF740K01557,Growth,DSP Bond Fund - Regular (G),Regular,DSP20-GR,78.6257,0.02,0.02,100.00,,11th February 2025
46,INF740K01565,Dividend - Payout,DSP Bond Fund - Regular (IDCW),Regular,DSP30-DP,11.9938,0.00,0.03,100.00,QUARTERLY,11th February 2025
46,INF740K01995,Dividend - Reinvest,DSP Bond Fund - Regular (IDCW),Regular,DSP388-DR,11.9938,0.00,0.03,100.00,QUARTERLY,11th February 2025
47,INF740K01011,Dividend - Payout,DSP Flexi Cap Fund (IDCW),Regular,DSP10-DP,62.773,-1.28,-1.99,100.00,INTERIM,11th February 2025
47,INF740K01029,Dividend - Reinvest,DSP Flexi Cap Fund (IDCW),Regular,DSP378-DR,62.773,-1.28,-1.99,100.00,INTERIM,11th February 2025
50,INF740K01318,Growth,DSP Aggressive Hybrid Fund - Regular (G),Regular,DSP01-GR,331.45,-4.79,-1.42,100.00,,11th February 2025
51,INF740K01326,Dividend - Payout,DSP Aggressive Hybrid Fund - Regular (IDCW),Regular,DSP04-DP,28.774,-0.42,-1.43,100.00,MONTHLY,11th February 2025
51,INF740K01334,Dividend - Reinvest,DSP Aggressive Hybrid Fund - Regular (IDCW),Regular,DSP377-DR,28.774,-0.42,-1.43,100.00,MONTHLY,11th February 2025
52,INF966L01AA0,Growth,Quant Small Cap Fund - (G),Regular,QUIBGP-GR,230.469,-6.45,-2.72,5000.00,,11th February 2025
53,INF966L01044,Dividend - Reinvest,Quant Small Cap Fund - (IDCW),Regular,QUIBDP-DR,183.2833,-5.14,-2.73,5000.00,MONTHLY,11th February 2025
57,INF760K01068,Dividend - Payout,Canara Robeco Equity Hybrid Fund (IDCW-M),Regular,CRGBDP-DP,93.92,-1.44,-1.51,5000.00,MONTHLY,11th February 2025
57,INF760K01076,Dividend - Reinvest,Canara Robeco Equity Hybrid Fund (IDCW-M),Regular,CRGBDP-DR,93.92,-1.44,-1.51,5000.00,MONTHLY,11th February 2025
65,INF173K01AG2,Growth,Sundaram Nifty 100 Equal Weight Fund (G),Regular,SUNHGP-GR,156.7123,-3.04,-1.90,100.00,,11th February 2025
67,INF173K01361,Growth,Sundaram ELSS Tax Saver Fund - Regular (G),Regular,SUTFGP-GR,465.2789,-7.32,-1.55,500.00,ANNUAL,11th February 2025
68,INF789F01331,Growth,UTI-Low Duration Fund (G),Regular,UTITRESADV-GR,6075.5754,1.46,0.02,10000.00,,11th February 2025
69,INF789F01OO0,Dividend - Payout,UTI-Low Duration Fund (IDCW-Q),Regular,UTBFDP-DP,2148.2452,0.52,0.02,10000.00,QUARTERLY,11th February 2025
69,INF789F01OP7,Dividend - Reinvest,UTI-Low Duration Fund (IDCW-Q),Regular,UTBFDP-DR,2148.2452,0.52,0.02,10000.00,QUARTERLY,11th February 2025
76,INF090I01817,Growth,Franklin India Equity Hybrid Fund - (G),Regular,F045-GR,252.058,-3.73,-1.46,5000.00,,11th February 2025
77,INF090I01171,Growth,Franklin India Bluechip Fund - (G),Regular,FTIFIBCF-GR,949.859,-8.49,-0.89,5000.00,,10th February 2025
82,INF090I01DG6,Growth,Franklin India Corporate Debt Fund - (G),Regular,F012-GR,94.8966,0.01,0.01,10000.00,,11th February 2025
83,INF090I01DJ0,Dividend - Payout,Franklin India Corporate Debt Fund - (IDCW-M),Regular,FR039P-DP,15.0374,0.00,-0.02,10000.00,MONTHLY,11th February 2025
